Rent,Bathrooms,YearBuilt,SqFt,AC,Parking,Rooms
650,1,1960,8.5,0,1,3
350,1,1980,2.5,0,1,2
635,1,1980,3,0,1,2
1200,2,1960,25,1,0,5
550,1,1991,8,1,0,3
500,1,1960,5,0,0,3
750,1,1960,9,1,0,4
411,1,1960,6,0,1,2
475,1,1940,5.5,0,1,3
430,1,1950,8,1,0,4
865,1,1960,8,1,0,4
900,1,1930,12,1,1,4
525,1,1960,9,0,0,3
450,1,1920,4,1,0,3
200,1,1960,7,0,1,3
670,1,1940,9,0,0,4
300,1,1920,4,1,0,2
500,2,1950,9,1,0,5
721,1,1960,9,0,1,4
450,1,1920,5,1,0,3
927,0,1994,6,0,1,3
700,2,1960,9.6,1,0,4
700,2,1960,9.6,1,0,4
925,2,1994,8.5,1,0,4
850,2,1970,10.5,0,1,6
875,1,1970,11,1,1,3
608,1,1970,7,0,1,3
589,1,1920,2.5,1,1,5
400,1,1960,6,0,1,4
300,1,1975,5,1,0,3
750,1,1940,10.25,1,1,6
475,1,1920,7,1,0,5
390,1,1920,0.99,0,0,2
500,1,1940,6,1,0,3
450,1,1940,14,1,0,4
500,1,1920,17,1,0,7
700,2,1970,11,1,1,5
1240,1,1919,7.5,1,0,4
575,1,1930,18,1,0,4
1250,1,1950,9,0,0,4
720,1,1970,9.5,0,0,4
600,1,1960,7.5,0,1,3
500,1,1940,5,0,0,3
1090,1,1960,2,0,0,5
71,1,1940,0.99,0,0,5
895,1,1975,7,1,1,3
450,1,1950,3.8,1,1,3
725,1,1950,4,0,0,4
607,1,1950,9,0,1,4
750,1,1960,7,1,1,3
750,1,1960,7,1,1,3
858,1,1940,6.5,1,0,3
800,1,1919,11,0,1,6
500,1,1930,86.27,1,1,6
490,1,1930,6.5,0,0,2
490,1,1930,6.5,0,0,2
520,1,1920,5,0,0,2
400,1,1950,5,1,0,4
397,1,1940,3,1,0,1
590,1,1960,6,0,1,3
550,1,1920,3,1,0,3
550,1,1930,5,1,0,4
750,1,1919,7.65,0,0,5
350,1,1940,8,0,0,4
450,1,1930,4,1,0,5
400,1,1940,6,0,0,2
650,1,1950,10,0,1,4
1080,1,1940,13,1,1,4
625,1,1960,10,0,1,4
500,1,1950,3.5,1,1,3
650,1,1960,10,0,1,5
525,1,1960,4,1,1,3
840,1,1950,6,1,1,3
415,1,1930,4,1,0,3
780,1,1950,8.75,0,1,4
704,1,1975,7,1,1,4
800,1,1919,11,0,0,6
825,1,1950,10,0,1,5
825,1,1960,7.5,1,1,4
500,1,1950,8,1,0,3
950,1,1994,14.26,1,1,6
700,1,1950,12,1,0,7
690,2,1975,8,0,1,5
685,1,1975,9,1,0,4
440,1,1960,3.64,0,0,1
850,2,1950,12,0,0,5
350,1,1930,4,0,0,4
550,1,1975,10,0,0,3
680,1,1975,8.8,0,0,5
635,1,1960,6,1,0,5
650,2,1985,9,1,1,4
1200,1,1950,12,1,0,4
602,1,1975,8,0,0,4
750,1,1970,10,0,0,4
749,1,1960,11,0,0,4
1067,2,1970,11,1,0,4
955,1,1960,9,1,0,5
750,1,1960,12.5,1,1,4
600,1,1980,9,1,0,5
1100,2,1980,17.5,1,1,5
1104,1,1980,7,1,0,3
1100,2,1980,10,1,1,4
545,1,1980,5.5,1,1,3
450,1,1980,6,0,1,3
900,1,1980,5.5,1,0,4
875,2,1998,12,1,1,4
650,1,1999,6.56,1,1,3
1000,1,1985,4.2,1,0,3
775,2,1991,8,1,0,5
595,1,1985,6.5,0,1,3
830,1,1985,8.25,1,0,4
700,2,1985,7,1,1,4
1100,2,1980,9,1,1,4
550,1,1985,6.5,0,1,3
550,1,1985,6.5,0,1,3
695,1,1985,8,1,0,4
625,1,1975,3.75,1,1,3
795,1,1980,8,1,1,6
