bought,region,size,oldest,income,children,race,connection,hispanic
338.36,3,2,10,7,1,1,1,1
955.69,4,2,9,6,1,1,1,0
173.97,1,2,7,5,1,1,1,0
30,3,4,8,6,1,1,1,1
39.98,2,5,7,4,1,1,1,0
132.98,4,2,5,2,0,5,0,1
80.96,2,3,6,7,1,1,1,0
59.09,2,4,7,6,1,1,1,0
9,3,6,8,6,1,1,1,0
115.2,4,4,8,1,1,5,1,0
542.54,3,3,10,2,1,1,1,1
29.99,4,4,5,6,0,5,1,1
40.88,3,1,7,7,0,1,1,0
32.06,3,3,9,7,1,1,1,0
22.83,3,4,6,5,1,1,1,1
339.07,3,2,8,6,1,1,1,1
24.33,3,5,9,1,1,1,0,1
17.13,3,2,9,5,1,1,1,1
65.88,2,3,10,6,1,1,1,1
29.08,1,4,11,1,1,1,1,0
89.48,1,2,8,5,0,1,1,0
78.22,2,3,5,7,1,1,1,0
278.51,1,4,4,3,1,1,1,1
131.63,1,2,10,6,1,1,1,0
39.48,4,1,10,4,0,1,1,0
62.84,4,4,7,5,1,1,1,1
104.99,2,3,6,5,1,1,1,0
51.84,2,3,8,3,1,1,1,0
64.02,1,5,6,6,1,1,1,0
13.68,2,3,11,1,1,1,1,0
76.61,2,2,4,5,1,1,1,1
59.94,1,2,9,3,0,1,0,1
139.91,2,2,10,4,1,1,1,0
601.47,3,1,8,5,0,1,1,0
34.4,3,3,5,1,1,1,1,1
34.94,3,4,9,7,1,1,1,0
31.9,1,5,6,5,1,1,1,0
0.29,3,3,11,7,1,1,1,0
214.99,2,3,10,7,1,1,1,1
37.97,3,2,5,7,1,1,1,1
5.45,3,2,3,1,1,1,1,0
25.97,1,3,11,3,1,1,1,1
130.88,4,4,7,1,1,1,1,1
34.99,3,4,9,1,1,1,1,1
185.8,3,3,6,6,1,1,1,0
27.3,4,1,6,5,0,1,1,0
30.95,2,2,10,5,0,1,1,1
150.07,1,2,11,6,0,1,1,0
145.41,2,2,4,2,1,1,1,0
